company_name,high,low,last_price,prev_close,change,percent_gain
Balrampur Chini,505.30,475.25,493.80,479.40,14.40,3
Happiest Minds ,696.90,672.60,691.95,671.80,20.15,3
Solar Ind,"9,569.95","9,255.00","9,529.75","9,251.95",277.80,3
Affle India,"1,513.00","1,455.30","1,502.50","1,458.90",43.60,2.99
Kansai Nerolac,241.00,232.00,238.45,231.55,6.90,2.98
Shree Cements,"27,074.30","25,896.00","26,800.00","26,033.00",767.00,2.95
Guj Mineral,301.00,285.55,293.70,285.30,8.40,2.94
Schaeffler Ind,"3,235.00","3,139.70","3,212.70","3,121.50",91.20,2.92
Network 18,52.28,49.59,51.12,49.67,1.45,2.92
Nuvama Wealth,"5,349.00","5,038.05","5,340.00","5,188.35",151.65,2.92
Triveni Turbine,618.65,592.65,610.50,593.20,17.30,2.92
Bombay Burmah,"2,147.40","2,050.05","2,108.95","2,049.40",59.55,2.91
Suven Pharma,"1,012.45",952.45,"1,003.65",975.30,28.35,2.91
BSE Limited,"5,329.00","5,136.05","5,305.95","5,156.75",149.20,2.89
Emcure Pharmace,"1,220.80","1,171.55","1,205.05","1,171.35",33.70,2.88
Jubilant Food,686.20,660.55,685.35,666.25,19.10,2.87
Raymond,"1,523.10","1,474.40","1,503.95","1,462.50",41.45,2.83
Shipping Corp,191.88,183.16,188.77,183.57,5.20,2.83
General Insuran,407.40,392.25,402.60,391.55,11.05,2.82
Graphite India,475.75,462.45,473.50,460.55,12.95,2.81
Shyam Metalics,743.75,715.15,737.65,717.55,20.10,2.8
Just Dial,879.00,843.10,867.10,843.60,23.50,2.79
MMTC Ltd,67.38,65.00,66.61,64.81,1.80,2.78
CCL Products,616.00,599.90,616.00,599.45,16.55,2.76
Indian Hotels,778.40,749.05,774.50,753.70,20.80,2.76
NBCC (India),91.45,87.29,89.41,87.01,2.40,2.76
IFCI,54.55,52.29,53.47,52.04,1.43,2.75
Indian Renew,194.88,187.07,191.60,186.49,5.11,2.74
Granules India,535.15,517.40,530.50,516.40,14.10,2.73
Rattanindia Ent,54.04,51.20,53.03,51.62,1.41,2.73
DLF,748.65,725.00,746.45,726.75,19.70,2.71
Hindustan Aeron,"3,710.00","3,577.55","3,696.50","3,599.15",97.35,2.7
Hindustan Aeron,"3,710.00","3,577.55","3,696.50","3,599.15",97.35,2.7
SBI Life Insura,"1,458.55","1,410.50","1,457.75","1,419.50",38.25,2.69
Mahindra Life,404.05,385.55,397.80,387.45,10.35,2.67
IRFC,142.25,138.45,141.47,137.82,3.65,2.65
Castrol,175.44,170.00,173.74,169.31,4.43,2.62
SignatureGlobal,"1,155.95","1,122.75","1,154.00","1,124.50",29.50,2.62
Emami,572.80,558.30,569.90,555.55,14.35,2.58
Fert and Chem,915.00,873.95,893.40,871.00,22.40,2.57
Global Health,"1,048.40","1,018.75","1,043.85","1,017.70",26.15,2.57
Aditya Birla Re,"1,955.05","1,886.15","1,952.00","1,903.45",48.55,2.55
Ipca Labs,"1,420.80","1,376.45","1,417.80","1,382.75",35.05,2.53
Zydus Life,939.50,910.25,933.20,910.25,22.95,2.52
Mah Seamless,624.35,602.15,620.80,605.55,15.25,2.52
PB Fintech,"1,703.55","1,633.75","1,685.50","1,644.00",41.50,2.52
TITAGARH,944.95,922.75,938.20,915.30,22.90,2.5
DOMS Industries,"2,371.45","2,274.25","2,349.85","2,292.70",57.15,2.49
Saregama India,498.45,477.55,490.55,478.75,11.80,2.46
BLS Internation,432.35,416.45,424.65,414.50,10.15,2.45
Ceat,"2,913.95","2,830.00","2,912.85","2,843.10",69.75,2.45
CAMS,"3,820.00","3,710.40","3,811.50","3,720.40",91.10,2.45
Devyani Int,170.00,163.76,166.49,162.51,3.98,2.45
Engineers India,165.88,158.31,161.67,157.81,3.86,2.45
GSFC,201.77,195.82,200.35,195.56,4.79,2.45
HDFC Life,626.55,605.15,626.55,611.55,15.00,2.45
Max Financial,"1,069.25","1,037.55","1,068.60","1,043.40",25.20,2.42
Oracle Fin Serv,"9,625.00","9,300.90","9,468.55","9,246.50",222.05,2.4
Ratnamani Metal,"2,887.85","2,788.15","2,868.00","2,801.05",66.95,2.39
Jindal Stainles,630.90,611.85,629.50,614.85,14.65,2.38
Ajanta Pharma,"2,649.00","2,566.10","2,629.30","2,568.65",60.65,2.36
Oberoi Realty,"1,720.85","1,671.95","1,712.40","1,672.95",39.45,2.36
